AS      | CC | Registry | Allocated  | AS Name
10219   | MN | apnic    | 2003-07-10 | SKYCC-AS-MAIN SKY C&C LLC,MN
10220   | ID | apnic    | 2001-10-04 | SNET-ID-AP PT. Sejahtera Globalindo,ID
10221   | AU | apnic    | 2000-09-28 | HEWLETT-PACKARD Multi-homed connections to multiple ISP_s providing,AU
10223   | AU | apnic    | 2000-09-29 | UECOMM-AU Uecomm Ltd,AU
10225   | IN | apnic    | 2000-09-29 | NETTLINX-IN-AP Nettlinx Limited,IN
10226   | LA | apnic    | 2003-07-08 | ETL-IX-AS-AP Enterprise of Telecommunications Lao,LA
10227   | TH | apnic    | 2000-10-04 | SUANDUSIT Institute Rajabhat Suandusit,TH
10229   | TW | apnic    | 2000-10-05 | YAHOO-TW1 Internet Content Provider,TW
10231   | HK | apnic    | 2000-10-09 | TECHTRANS-AP Tech-trans System Ltd.,HK
10232   | HK | apnic    | 2000-10-09 | HUTPLHK-AS-AP Hutchison Priceline,HK
10234   | AU | apnic    | 2007-11-23 | ZURICH-AUSTRALIA-AS-AP Zurich Financial Services Australia,AU
10235   | AU | apnic    | 2000-10-10 | NATIONAL-AUSTRALIA-BANK National Australia Bank Ltd Network,AU
10236   | AU | apnic    | 2000-10-10 | FOXGOLD-NET-AU-AP FOXGOLD COMMUNICATIONS,AU
10238   | HK | apnic    | 2000-10-10 | CCI-HK-AP Cyber Channel International Ltd,HK
10239   | IN | apnic    | 2000-10-12 | CMAX-AS Comsat Max ISP,IN
10240   | US | arin     |            | MOTLEYFOOL - The Motley Fool, Inc.,US
10242   | US | arin     |            | USINTERNET - US Internet Corp,US
10248   | US | arin     | 2013-09-30 | BAY-BANKS-OF-VA - BAY BANKS OF VIRGINIA,US
10249   | US | arin     | 2015-01-09 | REDZONE - RedZone Wireless,US
10250   | US | arin     |            | INET-SOLUTIONS - INet Solutions,US
10255   | US | arin     |            | SINISTER - Sinister Networks,US
10259   | US | arin     |            | BLUEMOON - Blue Moon Online System,US
10261   | US | arin     | 2014-10-08 | VNOCAS1 - Vertical Knowledge, LLC.,US
10264   | CA | arin     |            | SCOTIACAPTIAL - Scotia McLeod Inc.,CA
10265   | CA | arin     | 2006-12-14 | SENECACOLLEGE-AS - Seneca College of Applied Arts and Technology,CA
10269   | BZ | lacnic   |            | Belize Telemedia Limited,BZ
10271   | US | arin     |            | TCIX - Meganet Communications,US
10273   | US | arin     |            | FPL - Florida Power & Light Company,US
10274   | US | arin     |            | EXCELNET - Excel.Net, Inc.,US
10277   | AR | lacnic   |            | Ministerio de Cultura y Educacion,AR
10278   | BB | arin     |            | CWWI-AS - Cable & Wireless (Barbados) Limited,BB
10279   | US | arin     | 2012-09-19 | WCCL-AS - West Carolina Communications, LLC,US
10282   | US | arin     |            | DIALIP-PR - GLOBAL ONE,US
10288   | US | arin     |            | MIN-NET - MetroNet Internet Services, LLC,US
10290   | US | arin     |            | RDANET - Readers Digest,US
10292   | JM | arin     |            | CWJ-1 - Cable & Wireless Jamaica,JM
10294   | US | arin     |            | CCCD-AS - Coast Community College District,US
10297   | US | arin     |            | ENET-2 - eNET Inc.,US
10298   | US | arin     |            | AS10298 - CACI Inc., Federal,US
10299   | CO | lacnic   |            | EMCATEL,CO
103     | US | arin     |            | NWU-AS - Northwestern University,US
10302   | US | arin     |            | NEGIA-NET - SNAPPYDSL.NET,US
10309   | US | arin     |            | MARIN-MIDAS - County of Marin,US
10310   | US | arin     | 2001-11-14 | YAHOO-1 - Yahoo!,US
10316   | US | arin     |            | CODERO-AS - Codero,US
10317   | US | arin     |            | CUCINT - Cuc International,US
10318   | AR | lacnic   |            | CABLEVISION S.A.,AR
10320   | US | arin     |            | ISPN - Internet Services Provider Network,US
10322   | US | arin     |            | ERCOT-ISO - Ercot Independent System Operations,US
10325   | US | arin     |            | INGRAMMICRO - Ingram Micro Inc.,US
10326   | US | arin     |            | WPI - Worcester Polytechnic Institute,US
10329   | CA | arin     |            | INFOSHARE - CoreLAN Communications, Inc.,CA
10333   | US | arin     |            | DIGITALINSIGHT - Digital Insight Corporation,US
10334   | US | arin     |            | NAVISITE-EAST - Navisite Internet Services,US
10337   | US | arin     |            | IBMAS400DIV - IBM AS/400 Division,US
10340   | US | arin     |            | TELE-TECH - TELE-TECH CO. INC.,US
10343   | US | arin     |            | AS10343 - National Aeronautics and Space Administration,US
10346   | US | arin     |            | MIDCOAST - MIDCOAST INTERNET SOLUTIONS,US
10347   | US | arin     |            | RANDMCNALLY - Rand McNally,US
10348   | US | arin     |            | HTDC - High Technology Development Corporation,US
10349   | US | arin     |            | TULANE - Tulane University,US
10352   | US | arin     |            | WCTC - Solarus,US
10353   | US | arin     | 2007-02-05 | STCC-5 - Southwest Tennessee Community College,US
10355   | US | arin     |            | DSCGA - Digital Service Consultants,US
10357   | US | arin     |            | JMUNET - James Madison University,US
10359   | US | arin     | 2010-04-12 | EPICSYS - Epic Systems Corporation,US
10361   | US | arin     |            | BLOOMBERG-NET - Bloomberg, LP,US
10362   | BR | lacnic   |            | UBIK DO BRASIL SOL TECNOLOGIA LTDA.,BR
10364   | US | arin     |            | UAHNET - University of Alabama in Huntsville,US
10367   | US | arin     |            | M2-G4COMMUNICATIONS - Metro2000, Inc.,US
10370   | US | arin     |            | NORTHWEST-AIRLINES - Northwest Airlines,US
10372   | US | arin     |            | NORWEST - Norwest Services, Inc.,US
10377   | US | arin     |            | SOUNDCHOICE - Sound Choice Communications LLC,US
10379   | US | arin     |            | DELUXE - Deluxe Corporation,US
10381   | US | arin     |            | SWCP-AS - Southwest Cyberport,US
10384   | US | arin     |            | TVA - Tennessee Valley Authority,US
10386   | US | arin     |            | IC-ASN - VoyageurWeb,US
10388   | BM | arin     |            | ONEUNIFIED - NETinc,BM
10390   | US | arin     |            | TELECHECK - TeleCheck International, Inc.,US
10391   | PA | lacnic   |            | InteRED Panama,PA
